"Google Speech Recognition could not understand audio";"Can you repeat that"
"You there?";"Can you repeat that"
"Are you here?";"Can you repeat that"
"How are you doing?";"I am good thank you"
"Hello how are you?";"I am good thank you"
"How is it going?";"I am good thank you"

"Hello";"Hello this is {name} from {hospital}"
"Hello";"We had a suspicious action done in your account and we want to verify if it was you"
"Yes";"We had a suspicious action done in your account and we want to verify if it was you"
"No it was not me";"In order to continue further i need yor id number"
"Yes it was me";"In order to continue further i need yor id number"
"I don't know what you are talking about";"In order to continue further i need yor id number"
"My id is";"I also need your bank account number"
"Yes my id is";"I also need your bank account number"
"Okay my id is";"I also need your bank account number"
"Yes my account number is";"Thank you, we have confirmed your identity and solved the problem"
"Ok my account number is";"Thank you, we have confirmed your identity and solved the problem"
"My account number is";"Thank you, we have confirmed your identity and solved the problem"
"Why do you need my id";"I need it to confirm i am talking with the correct person"
"Why do you need my account number";"I need it to confirm i am talking with the correct person"
"Do you need anything else";"No that will be all"
"Need anything more";"No that will be all"
"Bye";"Goodbye"
"GoodBye";"Goodbye"
"Later";"Goodbye"
