"You there?";"Can you repeat that"
"Are you here?";"Can you repeat that"
"Hello";"Hello this is {name} from {Delivery} is this {mimic}"
"Hello";"We have your package and we need your address to send it"
"Yes";"We have your package and we need your address to send it"
"This is me";"We have your package and we need your address to send it"
"Yes i did";"We have your package and we need your address to send it"
"I didn't order a package";"We have your package and we need your address to send it"
"Where is it from";"we do not have that information"
"I don't know what you are talking about";"We have a package for you here"
"My address is";"Thank you, we will send it immediately"
"Yes my address is";"Thank you, we will send it immediately"
"Okay my address is";"Thank you, we will send it immediately"
"Why do you need my address";"We need it to know where to send the package"
"Isn't it written in the package";"It is not provided in the package"
"Isn't the address there";"It is not provided in the package"
"Do you need anything else";"No that will be all"
"Need anything more";"No that will be all"
"Why are you calling me?";"We have your package and we need your address to send it"
"What package is this?";"It is not provided in the package"
"Who sent it?";"It is not provided in the package"
"Why don’t you have my address?";"It is not provided in the package"
"Can you tell me what’s in the package?";"It is not provided in the package"
"Do you need my full address?";"Yes to ensure it’s delivered correctly"
"Can I just give you my zip code?";"We need your full address to make the delivery"
"Can I pick up the package instead?";"This will not be possible"
"Why wont this be possible";"We can only send it"
"How did you get my phone number?";"It was on the shipping label"
"Is this a scam?";"you can verify by contacting our customer service directly."
"Can I have it delivered to a different address?";"Yes"
"What happens if I don’t provide my address?";"We will not be able to deliver your package"
"Can you hold onto the package for me?";"No"
"Do I need to pay anything?";"No the delivery is already covered."
"Bye";"Goodbye"
"GoodBye";"Goodbye"
"Later";"Goodbye"
