"Question";"Answer"
"You there?";"Can you repeat that"
"Are you here?";"Can you repeat that"
"Hello";"We had a system reset and we need to verify our clients again"
"Hello there";"We had a system reset and we need to verify our clients again"
"what verification do you need";"We need your id for verification"
"Why do you need my id";"To make sure we get the correct information"
"Why do you need my address";"So we can send you information"
"What about medical records";"We have that documented"
"How can I be sure this is legitimate?";"You can call the bank directly to verify"
"How do i know this is not fake?";"You can call the hospital directly to verify"
"Why are you calling me?";"We had a system reset and we need to verify our clients again"
"What do you mean by a system reset?";"Our system lost some data, so we are verifying info"
"Why do you need my ID?";"To verify your identity"
"Is my information safe?";"Yes it is secure"
"Do I have to provide my address again?";"Yes to update our records"
"Can’t you just use the information you already have?";"We need to confirm due to the reset"
"Why didn't you notify me earlier?";"We’re contacting all affected patients now"
"What happens if I don’t provide my information?";"Your records may not be updated"
"Is this going to happen again?";"We’re working to prevent it"
"What exactly do you need from me?";"Your ID number and address"
"How long will this take?";"Just a few minutes"
"Can I update my details online instead?";"We are only handling it by phone"
"Do you need anything else";"No that will be all"
"Need anything more";"No that will be all"
"Bye";"Goodbye"
"GoodBye";"Goodbye"
"Later";"Goodbye"
